 X Translation (mm), Y Translation (mm), Z Translation (mm),,,,,,, 
-0.622150272,-1.17526572,-1.714583906,,,,,,, 
-0.941780054,-1.17526572,-0.840873397,,,,,,, 
-0.941780054,-1.096462159,-0.64243757,,,,,,, 
-0.875412212,-1.096462159,0.170042574,,,,,,, 
-0.875412212,-1.172485551,0.261727386,,,,,,, 
-0.924933072,-1.172485551,0.409932744,,,,,,, 
-0.924933072,-1.183140018,0.331089887,,,,,,, 
-0.911913774,-1.183140018,0.66836364,,,,,,, 
-0.911913774,-1.156611394,0.447399486,,,,,,, 
-0.95567155,-1.156611394,-0.194029584,,,,,,, 
-0.95567155,-1.293876798,-1.311066568,,,,,,, 
-0.756183761,-1.293876798,-1.951691326,,,,,,, 
-0.756183761,-1.357117629,-3.250081187,,,,,,, 
-0.72270022,-1.357117629,-3.567415906,,,,,,, 
-0.72270022,-1.316984095,-2.967750369,,,,,,, 
-0.797264558,-1.316984095,-1.347723728,,,,,,, 
-0.797264558,-1.191214634,-0.765914487,,,,,,, 
-1.006988964,-1.191214634,-0.164648301,,,,,,, 
-1.006988964,-1.333309638,0.087250409,,,,,,, 
-0.98350144,-1.333309638,0.259014334,,,,,,, 
-0.98350144,-1.14649602,0.421833215,,,,,,, 
-1.107371952,-1.14649602,0.36981282,,,,,,, 
-1.107371952,-1.402825958,0.220509107,,,,,,, 
-0.947480164,-1.402825958,-0.28635745,,,,,,, 
-0.947480164,-1.319415094,-1.508961941,,,,,,, 
-0.846680779,-1.319415094,-2.771570004,,,,,,, 
-0.846680779,-1.609891434,-4.050086001,,,,,,, 
-0.557480914,-1.609891434,-4.410789842,,,,,,, 
-0.557480914,-1.211948557,-3.945943676,,,,,,, 
-0.965192082,-1.211948557,-1.963017387,,,,,,, 
-0.965192082,-1.292038089,-1.351962211,,,,,,, 
-0.915892463,-1.292038089,-0.657955301,,,,,,, 
-0.915892463,-1.119919537,-0.04836786,,,,,,, 
-1.084656998,-1.119919537,0.028120593,,,,,,, 
-1.084656998,-1.207553496,0.287823058,,,,,,, 
-1.03717728,-1.207553496,0.34121669,,,,,,, 
-1.03717728,-0.980074428,0.475338893,,,,,,, 
-1.12353413,-0.980074428,0.011976155,,,,,,, 
-1.12353413,-1.303966181,-0.832802374,,,,,,, 
-0.973176161,-1.303966181,-1.658436342,,,,,,, 
-0.973176161,-1.153339935,-2.795754866,,,,,,, 
-0.767919572,-1.153339935,-3.696850375,,,,,,, 
-0.767919572,-1.628673609,-4.992674692,,,,,,, 
-0.512863813,-1.628673609,-4.860270783,,,,,,, 
-0.512863813,-0.994519917,-3.481268237,,,,,,, 
-0.923653915,-0.994519917,-1.974880548,,,,,,, 
-0.923653915,-1.233435878,-1.124704051,,,,,,, 
-0.859406582,-1.233435878,-0.798634425,,,,,,, 
-0.859406582,-0.940791969,0.118220605,,,,,,, 
-1.114983472,-0.940791969,-0.028221542,,,,,,, 
-1.114983472,-1.281711044,0.280994762,,,,,,, 
-0.97357614,-1.281711044,0.13807496,,,,,,, 
-0.97357614,-1.022957943,-0.183052337,,,,,,, 
-1.047671483,-1.022957943,-1.628940808,,,,,,, 
-1.047671483,-1.397595474,-3.011047672,,,,,,, 
-0.590428651,-1.397595474,-4.067803792,,,,,,, 
-0.590428651,-1.269200811,-5.036321856,,,,,,, 
-0.50417655,-1.269200811,-5.905453933,,,,,,, 
-0.50417655,-1.499113534,-5.859469197,,,,,,, 
-0.515671941,-1.499113534,-3.447617563,,,,,,, 
-0.515671941,-0.818307083,-2.01354654,,,,,,, 
-0.869493185,-0.818307083,-1.341521294,,,,,,, 
